tweets,user,corordinate,place,id,len,date,likes,retweets
"Rep. Tulsi Gabbard: ""I'm running for president to be the Democratic nominee that rebuilds our Democratic party.""… https://t.co/3UwFVcuGeK",ABC News,,,1197347381722910720,137,2019-11-21 02:53:56,63,23
"Sen. Harris: ""Amb. Sondland by his own words told us that everyone was in the loop. That means it is a criminal ent… https://t.co/XKXn8PO7QB",ABC News,,,1197345351549825024,140,2019-11-21 02:45:52,178,67
"Joe Biden: ""I learned something about these impeachment trials. I learned number one, that Donald Trump doesn't wan… https://t.co/5FA2FuthAa",ABC News,,,1197343746406408194,140,2019-11-21 02:39:29,153,58
Four Syracuse students have been suspended in the wake of at least 12 racially charged incidents reported on or aro… https://t.co/UTfqOUQRku,ABC News,,,1197343134642036736,140,2019-11-21 02:37:03,27,11
"Pete Buttigieg says the ""day the sun comes up"" and the ""Trump presidency is behind us, ""will be a tender moment in… https://t.co/HRLb3mjdEp",ABC News,,,1197342751945363456,139,2019-11-21 02:35:32,204,45
"Sen. Amy Klobuchar: ""This is a president that not only, with regard to his conduct with Ukraine, but every step of… https://t.co/E1cKEemjcU",ABC News,,,1197339781191098369,139,2019-11-21 02:23:43,434,116
"Sen. Bernie Sanders: ""What the American people understand is that the Congress can walk and chew bubblegum at the s… https://t.co/Uy5rdGku4n",ABC News,,,1197338035911659520,140,2019-11-21 02:16:47,56,16
"A 16-year-old girl who is accused of planning to murder members of a predominantly black church went to ""great leng… https://t.co/F0VyyvLfHg",ABC News,,,1197337867279839232,140,2019-11-21 02:16:07,24,23
"Bernie Sanders: ""We have a president who's not only a pathological liar, he's likely the most corrupt president in… https://t.co/ia5TSMnNid",ABC News,,,1197336348308516865,139,2019-11-21 02:10:05,193,47
"Sen. Warren: ""Anyone who wants to give me a big donation, don't ask to be an ambassador because I'm not going to ha… https://t.co/BS4AjQF2hk",ABC News,,,1197336318545514496,140,2019-11-21 02:09:58,60,18
"Sen. Elizabeth Warren: ""How did Ambassador Sondland get there? You know, this is not a man who had any qualificatio… https://t.co/gPVvzmzwqj",ABC News,,,1197335634693828608,140,2019-11-21 02:07:15,206,57
"Amb. Sondland testifies Rudy Giuliani attempted to arrange a ""quid pro quo"" with Ukraine for announcement of invest… https://t.co/pIvJOpIYXi",ABC News,,,1197335083742646273,140,2019-11-21 02:05:04,96,44
"10 Democratic candidates took the stage at the fifth #DemDebate.

Catch up on highlights of the debate here: https://t.co/nr6D2WNrEu",ABC News,,,1197334163596234757,132,2019-11-21 02:01:24,28,6
"10 candidates will face off in the fifth Democratic primary debate in Atlanta tonight.
— Joe Biden
— Cory Booker
—… https://t.co/a9bI8Fy5KE",ABC News,,,1197332062061109249,139,2019-11-21 01:53:03,62,19
"Top tier candidates are set to clash in one of the last primary matchups of 2019.

Here's what you need to know abo… https://t.co/5gMiHs9UrJ",ABC News,,,1197330773701021696,140,2019-11-21 01:47:56,30,10
"With the fifth Democratic primary debate set to take place at the Tyler Perry Studios in Atlanta, there's a renewed… https://t.co/p2622YGO8O",ABC News,,,1197330559896342535,140,2019-11-21 01:47:05,119,28
The same storm brought hail to Southern California. https://t.co/MsF7EMiwRc https://t.co/k5C28kw38u,ABC News,,,1197328816835715072,99,2019-11-21 01:40:09,86,40
Drivers navigated through several inches of water as Phoenix experienced intense rain and flooding and the NWS issu… https://t.co/2NM6FwKGWP,ABC News,,,1197327786769297413,140,2019-11-21 01:36:04,167,82
"Atlanta, host of the fifth Democratic debate, is a rapidly growing example of what is becoming a trend among the So… https://t.co/qpybGBh6P3",ABC News,,,1197324979802660865,140,2019-11-21 01:24:55,38,13
NEW: Adam Schiff ends hearing by taking up GOP letter demanding subpoenas for the whistleblower and Hunter Biden an… https://t.co/RtzsbULPPR,ABC News,,,1197323250411429890,140,2019-11-21 01:18:02,292,71
tweets,user,corordinate,place,id,len,date,likes,retweets
"Tom Steyer: ""I'm the only person on this stage that will say that climate is the number one priority for me ... It'… https://t.co/XBSybOY4OS",ABC News,,,1197351418832793600,140,2019-11-21 03:09:58,6,0
"Sondland says email informed multiple senior officials that Zelenskiy would assure Trump he intended to run ""invest… https://t.co/E8BmWg05SN",ABC News,,,1197350199645155335,140,2019-11-21 03:05:07,61,25
"Rep. Tulsi Gabbard: ""I'm running for president to be the Democratic nominee that rebuilds our Democratic party.""… https://t.co/3UwFVcuGeK",ABC News,,,1197347381722910720,137,2019-11-21 02:53:56,124,44
"Sen. Harris: ""Amb. Sondland by his own words told us that everyone was in the loop. That means it is a criminal ent… https://t.co/XKXn8PO7QB",ABC News,,,1197345351549825024,140,2019-11-21 02:45:52,208,79
"Joe Biden: ""I learned something about these impeachment trials. I learned number one, that Donald Trump doesn't wan… https://t.co/5FA2FuthAa",ABC News,,,1197343746406408194,140,2019-11-21 02:39:29,167,63
Four Syracuse students have been suspended in the wake of at least 12 racially charged incidents reported on or aro… https://t.co/UTfqOUQRku,ABC News,,,1197343134642036736,140,2019-11-21 02:37:03,30,11
"Pete Buttigieg says the ""day the sun comes up"" and the ""Trump presidency is behind us, ""will be a tender moment in… https://t.co/HRLb3mjdEp",ABC News,,,1197342751945363456,139,2019-11-21 02:35:32,215,49
"Sen. Amy Klobuchar: ""This is a president that not only, with regard to his conduct with Ukraine, but every step of… https://t.co/E1cKEemjcU",ABC News,,,1197339781191098369,139,2019-11-21 02:23:43,467,126
"Sen. Bernie Sanders: ""What the American people understand is that the Congress can walk and chew bubblegum at the s… https://t.co/Uy5rdGku4n",ABC News,,,1197338035911659520,140,2019-11-21 02:16:47,58,16
"A 16-year-old girl who is accused of planning to murder members of a predominantly black church went to ""great leng… https://t.co/F0VyyvLfHg",ABC News,,,1197337867279839232,140,2019-11-21 02:16:07,24,23
"Bernie Sanders: ""We have a president who's not only a pathological liar, he's likely the most corrupt president in… https://t.co/ia5TSMnNid",ABC News,,,1197336348308516865,139,2019-11-21 02:10:05,203,49
"Sen. Warren: ""Anyone who wants to give me a big donation, don't ask to be an ambassador because I'm not going to ha… https://t.co/BS4AjQF2hk",ABC News,,,1197336318545514496,140,2019-11-21 02:09:58,62,20
"Sen. Elizabeth Warren: ""How did Ambassador Sondland get there? You know, this is not a man who had any qualificatio… https://t.co/gPVvzmzwqj",ABC News,,,1197335634693828608,140,2019-11-21 02:07:15,214,58
"Amb. Sondland testifies Rudy Giuliani attempted to arrange a ""quid pro quo"" with Ukraine for announcement of invest… https://t.co/pIvJOpIYXi",ABC News,,,1197335083742646273,140,2019-11-21 02:05:04,96,44
"10 Democratic candidates took the stage at the fifth #DemDebate.

Catch up on highlights of the debate here: https://t.co/nr6D2WNrEu",ABC News,,,1197334163596234757,132,2019-11-21 02:01:24,28,6
"10 candidates will face off in the fifth Democratic primary debate in Atlanta tonight.
— Joe Biden
— Cory Booker
—… https://t.co/a9bI8Fy5KE",ABC News,,,1197332062061109249,139,2019-11-21 01:53:03,62,19
"Top tier candidates are set to clash in one of the last primary matchups of 2019.

Here's what you need to know abo… https://t.co/5gMiHs9UrJ",ABC News,,,1197330773701021696,140,2019-11-21 01:47:56,30,10
"With the fifth Democratic primary debate set to take place at the Tyler Perry Studios in Atlanta, there's a renewed… https://t.co/p2622YGO8O",ABC News,,,1197330559896342535,140,2019-11-21 01:47:05,120,28
The same storm brought hail to Southern California. https://t.co/MsF7EMiwRc https://t.co/k5C28kw38u,ABC News,,,1197328816835715072,99,2019-11-21 01:40:09,89,41
Drivers navigated through several inches of water as Phoenix experienced intense rain and flooding and the NWS issu… https://t.co/2NM6FwKGWP,ABC News,,,1197327786769297413,140,2019-11-21 01:36:04,169,86
