tweets,user,corordinate,place,id,len,date,likes,retweets
"@awzurcher Former US President Obama recently warned Democrats about moving too far left in politics

He said ""ordi… https://t.co/AtJHnogBum",BBC News (World),,,1197336223448215554,140,2019-11-21 02:09:35,59,17
"Iowa is the first US state to go to the polls in February

Candidates Joe Biden, Elizabeth Warren, Bernie Sanders a… https://t.co/GG9rdJddU2",BBC News (World),,,1197336030136950790,140,2019-11-21 02:08:49,28,9
"Here are the candidates on the #DemDebate stage

Joe Biden
Cory Booker
Pete Buttigieg
Tulsi Gabbard
Kamala Harris
A… https://t.co/CTrQdELaW9",BBC News (World),,,1197335716495331329,140,2019-11-21 02:07:34,41,20
Ten Democratic presidential hopefuls who want to take on President Trump in 2020 take the stage tonight at the… https://t.co/34HtTfXml6,BBC News (World),,,1197334764170227718,135,2019-11-21 02:03:47,85,28
Bougainville: Will it become the world's next country? https://t.co/AEchPMfhgZ,BBC News (World),,,1197314130786557952,78,2019-11-21 00:41:48,90,31
Why Seychelles has world's worst heroin problem https://t.co/V84zDAeipv,BBC News (World),,,1197313574147936256,71,2019-11-21 00:39:35,95,45
Bolivia crisis: New elections proposed as violence rages https://t.co/Ut41cjaEre,BBC News (World),,,1197312405094699015,80,2019-11-21 00:34:57,75,41
Brown bear attacks: Deaths spark fear in Romania https://t.co/JfMeWHODfv,BBC News (World),,,1197306539524141063,72,2019-11-21 00:11:38,130,50
"""I was shackled, blindfolded and hooded""

A former employee of the UK's Hong Kong consulate says he was tortured in… https://t.co/TcnWjuAbbb",BBC News (World),,,1197302785705947136,140,2019-11-20 23:56:43,739,608
Australia fires: Smoke shrouds Sydney and Adelaide https://t.co/jWK6UIdB7h,BBC News (World),,,1197297527298625539,74,2019-11-20 23:35:49,121,90
Ryanair baggage fee policy ruled as 'abusive' in Spain https://t.co/3X8c3cgu9d,BBC News (World),,,1197285065891438592,78,2019-11-20 22:46:18,183,63
"""He was climbing a tree, and he had flames upon his back legs, so I just covered him with my t-shirt""

Toni has bee… https://t.co/LgNgXsya1x",BBC News (World),,,1197284662118363140,140,2019-11-20 22:44:42,2117,530
Canada's down syndrome society is teaching Google how to make technology that understands everyone… https://t.co/Zkim8CrNnN,BBC News (World),,,1197280782525632523,123,2019-11-20 22:29:17,358,93
"Canadian Prime Minister Justin Trudeau unveils new cabinet 

https://t.co/JS1s2GLvVt",BBC News (World),,,1197279744594710529,84,2019-11-20 22:25:10,134,40
"RT @BBCWorld: Owner reunited with cat found 1,200 miles from home 🐈

https://t.co/s1wLlOuoG1",BBC News (World),,,1197278893109104642,92,2019-11-20 22:21:47,0,149
"Owner reunited with cat found 1,200 miles from home 🐈

https://t.co/s1wLlOuoG1",BBC News (World),,,1197278764109053953,78,2019-11-20 22:21:16,748,149
Benny Gantz unable to form Israel coalition government https://t.co/7rg2M8PEtC,BBC News (World),,,1197240736397381633,78,2019-11-20 19:50:09,81,55
Iran 'sentences wildlife activists' accused of spying https://t.co/kxqVxBqB8P,BBC News (World),,,1197240688372572162,77,2019-11-20 19:49:58,120,86
"""I want nothing. That's what I want from Ukraine."" 

Donald Trump responds to today's testimony #impeachment… https://t.co/bkvw8QeIsw",BBC News (World),,,1197234590785646592,133,2019-11-20 19:25:44,368,121
Racist manifesto sent to students at Syracuse University https://t.co/vDgKFeL49h,BBC News (World),,,1197234408157274112,80,2019-11-20 19:25:01,81,59
tweets,user,corordinate,place,id,len,date,likes,retweets
"@awzurcher Former US President Obama recently warned Democrats about moving too far left in politics

He said ""ordi… https://t.co/AtJHnogBum",BBC News (World),,,1197336223448215554,140,2019-11-21 02:09:35,60,19
"Iowa is the first US state to go to the polls in February

Candidates Joe Biden, Elizabeth Warren, Bernie Sanders a… https://t.co/GG9rdJddU2",BBC News (World),,,1197336030136950790,140,2019-11-21 02:08:49,30,11
"Here are the candidates on the #DemDebate stage

Joe Biden
Cory Booker
Pete Buttigieg
Tulsi Gabbard
Kamala Harris
A… https://t.co/CTrQdELaW9",BBC News (World),,,1197335716495331329,140,2019-11-21 02:07:34,45,23
Ten Democratic presidential hopefuls who want to take on President Trump in 2020 take the stage tonight at the… https://t.co/34HtTfXml6,BBC News (World),,,1197334764170227718,135,2019-11-21 02:03:47,95,31
Bougainville: Will it become the world's next country? https://t.co/AEchPMfhgZ,BBC News (World),,,1197314130786557952,78,2019-11-21 00:41:48,90,32
Why Seychelles has world's worst heroin problem https://t.co/V84zDAeipv,BBC News (World),,,1197313574147936256,71,2019-11-21 00:39:35,95,46
Bolivia crisis: New elections proposed as violence rages https://t.co/Ut41cjaEre,BBC News (World),,,1197312405094699015,80,2019-11-21 00:34:57,75,43
Brown bear attacks: Deaths spark fear in Romania https://t.co/JfMeWHODfv,BBC News (World),,,1197306539524141063,72,2019-11-21 00:11:38,130,51
"""I was shackled, blindfolded and hooded""

A former employee of the UK's Hong Kong consulate says he was tortured in… https://t.co/TcnWjuAbbb",BBC News (World),,,1197302785705947136,140,2019-11-20 23:56:43,762,632
Australia fires: Smoke shrouds Sydney and Adelaide https://t.co/jWK6UIdB7h,BBC News (World),,,1197297527298625539,74,2019-11-20 23:35:49,121,90
Ryanair baggage fee policy ruled as 'abusive' in Spain https://t.co/3X8c3cgu9d,BBC News (World),,,1197285065891438592,78,2019-11-20 22:46:18,183,63
"""He was climbing a tree, and he had flames upon his back legs, so I just covered him with my t-shirt""

Toni has bee… https://t.co/LgNgXsya1x",BBC News (World),,,1197284662118363140,140,2019-11-20 22:44:42,2140,536
Canada's down syndrome society is teaching Google how to make technology that understands everyone… https://t.co/Zkim8CrNnN,BBC News (World),,,1197280782525632523,123,2019-11-20 22:29:17,361,94
"Canadian Prime Minister Justin Trudeau unveils new cabinet 

https://t.co/JS1s2GLvVt",BBC News (World),,,1197279744594710529,84,2019-11-20 22:25:10,134,40
"RT @BBCWorld: Owner reunited with cat found 1,200 miles from home 🐈

https://t.co/s1wLlOuoG1",BBC News (World),,,1197278893109104642,92,2019-11-20 22:21:47,0,149
"Owner reunited with cat found 1,200 miles from home 🐈

https://t.co/s1wLlOuoG1",BBC News (World),,,1197278764109053953,78,2019-11-20 22:21:16,750,149
Benny Gantz unable to form Israel coalition government https://t.co/7rg2M8PEtC,BBC News (World),,,1197240736397381633,78,2019-11-20 19:50:09,81,55
Iran 'sentences wildlife activists' accused of spying https://t.co/kxqVxBqB8P,BBC News (World),,,1197240688372572162,77,2019-11-20 19:49:58,121,88
"""I want nothing. That's what I want from Ukraine."" 

Donald Trump responds to today's testimony #impeachment… https://t.co/bkvw8QeIsw",BBC News (World),,,1197234590785646592,133,2019-11-20 19:25:44,369,121
Racist manifesto sent to students at Syracuse University https://t.co/vDgKFeL49h,BBC News (World),,,1197234408157274112,80,2019-11-20 19:25:01,81,59
